Name;Objective;Duration;Availability (time);Availability (energy);Prod losses (annual);Direct costs (annual);Vessel costs (annual);Repair costs (annual);Technician costs (annual);Turbines;Dur;Vessels;Percent;Size
Ba_2SS_NT_15_150;17511523,581306;0,056000;96,302452;96,319931;3065506,540071;6133529,714286;2365714,285714;3268742,857143;499072,571429;Ba;2SS;NT;15;150;
Ba_2SS_NT_15_200;26281815,877380;0,041000;95,739616;95,784952;4960899,086568;8133516,000000;3231428,571429;4296342,857143;605744,571429;Ba;2SS;NT;15;200;
Ba_2SS_NT_15_80;9501603,592456;0,054000;96,260304;96,348942;1573067,240534;3601390,857143;1260000,000000;1952800,000000;388590,857143;Ba;2SS;NT;15;80;
Ba_2SS_NT_5_120;18841809,077738;0,051000;94,992256;95,026398;3649573,940751;4592762,285714;2747142,857143;1457028,571429;388590,857143;Ba;2SS;NT;5;120;
Ba_2SS_NT_5_150;25483665,396144;0,089000;93,833389;93,843983;5620235,150915;5320765,142857;3107142,857143;1767885,714286;445736,571429;Ba;2SS;NT;5;150;
Ba_2SS_NT_5_200;29216379,197356;0,069000;94,834054;94,895869;6302753,392689;6578521,142857;3780000,000000;2280400,000000;518121,142857;Ba;2SS;NT;5;200;
Ba_2SS_NT_5_80;13435995,811954;0,054000;94,112353;94,253164;2821386,962233;3104872,000000;1838571,428571;969142,857143;297157,714286;Ba;2SS;NT;5;80;
Ba_2Y_Al_10_120;19857849,933300;0,045000;95,303495;95,227012;3555030,331124;4036831,000000;1785000,000000;1965150,000000;286681,000000;Ba;2Y;Al;10;120;
Ba_2Y_Al_10_150;22353222,712162;0,074000;95,661987;95,623927;4084373,263165;5014768,000000;2253750,000000;2401000,000000;360018,000000;Ba;2Y;Al;10;150;
Ba_2Y_Al_10_200;30722276,998880;0,080000;95,035817;94,988076;6155966,753455;6350140,500000;2767500,000000;3105950,000000;476690,500000;Ba;2Y;Al;10;200;
Ba_2Y_Al_10_80;11088867,869714;0,067000;96,304527;96,339942;1855663,612306;2607660,500000;1207500,000000;1190150,000000;210010,500000;Ba;2Y;Al;10;80;
Ba_2Y_Al_15_120;14730686,333730;0,056000;96,726779;96,770369;2426201,738492;4215381,000000;1680000,000000;2248700,000000;286681,000000;Ba;2Y;Al;15;120;
Ba_2Y_Al_15_150;18666097,435596;0,045000;96,416890;96,490087;3102683,797062;5461335,000000;2047500,000000;3047150,000000;366685,000000;Ba;2Y;Al;15;150;
Ba_2Y_Al_15_200;31410638,966410;0,123000;95,006800;95,034145;6144804,065359;7426691,000000;2520000,000000;4420000,000000;486691,000000;Ba;2Y;Al;15;200;
Ba_2Y_Al_15_80;11226556,727574;0,046000;96,145659;96,188800;1842599,253789;3155144,000000;1155000,000000;1786800,000000;213344,000000;Ba;2Y;Al;15;80;
Ba_2Y_Al_5_120;23156519,639316;0,067000;94,188327;94,051215;4697192,056222;4140614,500000;2508750,000000;1341850,000000;290014,500000;Ba;2Y;Al;5;120;
Ba_2Y_Al_5_150;28282502,532896;0,104000;94,722713;94,649390;5398391,055321;5203968,000000;3187500,000000;1656450,000000;360018,000000;Ba;2Y;Al;5;150;
Ba_2Y_Al_5_200;40245599,266574;0,102000;94,913760;94,827553;6346754,291394;9665840,500000;5820000,000000;3369150,000000;476690,500000;Ba;2Y;Al;5;200;
Ba_2Y_Al_5_80;17141674,332620;0,066000;93,529495;93,311068;3494721,633680;2919877,500000;1803750,000000;899450,000000;216677,500000;Ba;2Y;Al;5;80;
Ba_2Y_Cr_10_120;24785556,130732;0,058000;93,582508;93,439964;5214671,540954;4088197,000000;2523750,000000;1291100,000000;273347,000000;Ba;2Y;Cr;10;120;
Ba_2Y_Cr_10_150;30125624,942942;0,084000;95,381911;95,420948;4151716,055409;8474201,500000;5527500,000000;2583350,000000;363351,500000;Ba;2Y;Cr;10;150;
Ba_2Y_Cr_10_200;38799198,827446;0,073000;95,075755;95,029470;5918949,560697;10170540,500000;6300000,000000;3393850,000000;476690,500000;Ba;2Y;Cr;10;200;
